Sample,C3,C4,C5,C6,C7,C8,PFOS,C3MDL,C4MDL,C5MDL,C6MDL,C7MDL,C8MDL,PFOSMDL,ENV,AFFF,C8incl,Citation,prior_name,C3err,C4err,C5err,C6err,C7err,C8err,PFOSerr
AFFF1,2507.147413,4685.714715,1954.549756,350.8391898,0,,0,1.806224468,1.087219715,0.381588828,0.490988413,1.534059207,,1.180697294,FALSE,TRUE,FALSE,Ruyle in review,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AFFF2,2746.561668,5101.557507,2041.687453,419.9283996,0,,0,1.806224468,1.087219715,0.381588828,0.490988413,1.534059207,,1.180697294,FALSE,TRUE,FALSE,Ruyle in review,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AFFF3,1393.049528,2667.726829,852.1923379,198.1027893,0,,0,1.806224468,1.087219715,0.381588828,0.490988413,1.534059207,,1.180697294,FALSE,TRUE,FALSE,Ruyle in review,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AFFF4,2489.866735,5355.713206,1383.573844,354.6712964,0,,0,1.806224468,1.087219715,0.381588828,0.490988413,1.534059207,,1.180697294,FALSE,TRUE,FALSE,Ruyle in review,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AFFF5,1314.088529,2479.739423,1086.116283,201.2308622,0,,0,1.806224468,1.087219715,0.381588828,0.490988413,1.534059207,,1.180697294,FALSE,TRUE,FALSE,Ruyle in review,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AFFF6,0,0,0,0,0,,0,1.806224468,1.087219715,0.381588828,0.490988413,1.534059207,,1.180697294,FALSE,TRUE,FALSE,Ruyle in review,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AFFF7,2323.191608,5062.652016,1414.060367,299.1807096,0,,0,1.806224468,1.087219715,0.381588828,0.490988413,1.534059207,,1.180697294,FALSE,TRUE,FALSE,Ruyle in review,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AFFF8,1562.756694,3135.892927,787.3962855,201.3795838,0,,0,1.806224468,1.087219715,0.381588828,0.490988413,1.534059207,,1.180697294,FALSE,TRUE,FALSE,Ruyle in review,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AFFF9,3344.633329,6327.195846,2567.261759,507.9058187,0,,0,1.806224468,1.087219715,0.381588828,0.490988413,1.534059207,,1.180697294,FALSE,TRUE,FALSE,Ruyle in review,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AFFF10,1645.237669,3242.494743,1334.834918,257.6711521,0,,0,1.806224468,1.087219715,0.381588828,0.490988413,1.534059207,,1.180697294,FALSE,TRUE,FALSE,Ruyle in review,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3M,2598.188769,1649.555575,8671.904523,115.8469697,110.4436466,,5795.560634,1.806224468,1.087219715,0.381588828,0.490988413,1.534059207,,1.180697294,FALSE,TRUE,FALSE,Ruyle in review,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
3MDup,2833.204272,1816.840216,9617.549962,131.2308522,126.130361,,5858.230009,1.806224468,1.087219715,0.381588828,0.490988413,1.534059207,,1.180697294,FALSE,TRUE,FALSE,Ruyle in review,AFFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1
